id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_id
1419,Beautiful home in amazing area!,Little Portugal,43.6459,-79.42423,Entire home,Entire home/apt,10,5.0,7.0,469.0,28,730,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1565
8077,Downtown Harbourfront Private Room,Waterfront Communities-The Island,43.6408,-79.37673,Private room in rental unit,Private room,2,1.0,1.0,96.0,180,365,4.84,4.81,4.89,4.87,4.9,4.92,4.83,True,22795
23691,Queen Bedroom close to downtown,Briar Hill-Belgravia,43.69805,-79.45411,Private room in residential home,Private room,3,1.0,1.0,72.0,28,28,4.75,4.73,4.82,4.9,4.93,4.34,4.73,True,93825
27423,Executive Studio Unit- Ideal for One Person,South Riverdale,43.66884,-79.32725,Entire rental unit,Entire home/apt,1,,1.0,45.0,90,365,4.92,5.0,4.82,5.0,5.0,4.82,4.82,False,118124
30931,Downtown Toronto - Waterview Condo,Waterfront Communities-The Island,43.64015,-79.37625,Entire rental unit,Entire home/apt,2,1.0,2.0,127.0,180,365,5.0,,,,,,,False,22795
40456,Downtown- King Size Bed and Parking,South Parkdale,43.63539,-79.4401,Entire residential home,Entire home/apt,5,2.0,2.0,100.0,30,365,4.63,4.64,4.66,4.95,4.96,4.57,4.68,False,174063
41887,Great location,Oakridge,43.69464,-79.2852,Entire rental unit,Entire home/apt,2,,1.0,70.0,28,200,4.72,4.88,4.72,4.88,4.94,4.61,4.77,False,183071
42892,Downtown 3 Beds 2 Baths @ Union & Harbourfront,Waterfront Communities-The Island,43.6445,-79.38019,Entire condominium (condo),Entire home/apt,4,3.0,3.0,135.0,120,180,,,,,,,,False,187320
43964,Bright entire 2-bedrm basement suite private entry,Wexford/Maryvale,43.74922,-79.29188,Private room in bungalow,Private room,4,2.0,2.0,100.0,2,1125,4.97,4.94,5.0,5.0,4.97,4.83,4.91,False,192364
44452,Yonge & Bloor Studio Skyline,Rosedale-Moore Park,43.67193,-79.3859,Entire rental unit,Entire home/apt,2,1.0,1.0,119.0,28,365,4.15,4.54,4.0,4.76,4.82,4.95,4.24,False,195095
44469,Yonge & Bloor 2 Bedroom Apartment,Rosedale-Moore Park,43.67129,-79.38634,Private room in rental unit,Private room,2,1.0,1.0,79.0,28,1000,4.0,4.5,4.0,4.38,4.75,4.75,4.13,False,195095
45399,Fountain View Studio - Eaton center,Bay Street Corridor,43.66123,-79.38336,Entire condominium (condo),Entire home/apt,3,,1.0,134.0,28,1100,4.13,4.51,3.91,4.65,4.68,4.91,4.2,False,195095
45453,Yonge & Bloor 2 Bedroom Master,Rosedale-Moore Park,43.67128,-79.38422,Private room in rental unit,Private room,2,1.0,1.0,99.0,28,365,4.13,4.33,3.11,4.44,4.56,5.0,4.44,False,195095
45601,Marigold Gardens,South Riverdale,43.66218,-79.33038,Private room in rental unit,Private room,2,1.0,1.0,50.0,28,730,,,,,,,,False,188183
45893,Yonge & Bloor Lakeview Master BR,Rosedale-Moore Park,43.6718,-79.38488,Private room in rental unit,Private room,2,1.0,1.0,86.0,28,1125,4.27,4.13,3.75,4.38,4.75,4.81,4.19,False,195095
50110,Yorkville one bedroom Condo,Church-Yonge Corridor,43.66899,-79.38559,Entire condominium (condo),Entire home/apt,3,1.0,1.0,123.0,28,1100,4.62,4.78,4.4,4.78,4.85,4.93,4.5,False,195095
51616,Large room in trendy King Street West.,Niagara,43.64296,-79.40451,Private room in condo,Private room,2,1.0,1.0,55.0,91,125,4.88,4.96,5.0,4.88,5.0,4.92,4.83,False,237587
64635,Furnished Heritage Rooms Downtown 2,Niagara,43.64482,-79.40897,Private room in residential home,Private room,1,1.0,1.0,45.0,58,365,4.55,4.55,4.09,4.82,4.45,4.91,4.27,False,304551
64641,Furnished Heritage Rooms Downtown,Niagara,43.64453,-79.40736,Private room in residential home,Private room,1,1.0,1.0,40.0,58,400,4.76,4.78,4.56,4.89,4.89,4.83,4.61,False,304551
65238,Zen South Facing Bedroom in Quiet Art-Filled Home,Palmerston-Little Italy,43.65863,-79.42543,Private room in residential home,Private room,1,1.0,1.0,79.0,28,40,4.9,4.95,4.93,5.0,5.0,4.97,4.92,True,318911
69464,Yonge & Bloor one bedroom Condo,Church-Yonge Corridor,43.66949,-79.38384,Entire condominium (condo),Entire home/apt,3,1.0,1.0,125.0,28,1000,4.58,4.71,4.46,4.87,4.91,4.98,4.67,False,195095
71118,Furnished Downtown Loft Suite,Niagara,43.64605,-79.4069,Private room in residential home,Private room,2,1.0,1.0,60.0,58,400,4.5,4.82,4.45,5.0,4.91,4.73,4.27,False,304551
75051,"GreatSpace,Backyard, 5min to Subway",Dufferin Grove,43.65767,-79.43242,Entire residential home,Entire home/apt,2,1.0,1.0,149.0,28,365,4.86,4.93,4.97,4.98,4.99,4.82,4.87,False,368707
82694,Luxury Hotel Downtown Living !!,Niagara,43.64319,-79.40498,Entire rental unit,Entire home/apt,2,1.0,1.0,108.0,30,365,4.78,4.65,4.5,4.73,4.73,5.0,4.62,False,431260
84076,A short walk to TIFF,Niagara,43.64279,-79.40478,Entire condo,Entire home/apt,2,1.0,1.0,120.0,28,60,4.33,4.33,3.67,4.83,5.0,5.0,4.17,True,544254
84151,North City View DT Apartment,Rosedale-Moore Park,43.67138,-79.38424,Entire rental unit,Entire home/apt,3,1.0,1.0,160.0,28,1100,4.53,4.65,4.15,4.8,4.8,4.9,4.45,False,195095
89575,Private bedroom close to downtown,Briar Hill-Belgravia,43.6978,-79.45415,Private room in residential home,Private room,1,1.0,1.0,62.0,28,28,4.6,4.65,4.78,4.78,4.78,4.49,4.56,True,93825
96336,John & Bren's Queen West 3 bedroom townhouse,Niagara,43.64388,-79.41011,Entire townhouse,Entire home/apt,5,3.0,3.0,239.0,4,60,4.96,4.92,4.92,4.98,4.97,4.98,4.94,False,511506
